Const,Your Rating,Date Rated,Title,Original Title,URL,Title Type,IMDb Rating,Runtime (mins),Year,Genres,Num Votes,Release Date,Directors
tt1375666,5,2025-11-02,"Inception","Inception",https://www.imdb.com/title/tt1375666,Movie,8.8,148,2010,"Sci-Fi, Thriller, Adventure",2857034,"2010-07-16","Christopher Nolan"
tt16431870,6,2025-11-02,"The Family Plan","The Family Plan",https://www.imdb.com/title/tt16431870,Movie,6.3,118,2023,"Action, Comedy",65932,"2023-12-15","Simon Cellan Jones"
tt0247586,5,2025-11-02,"Nine Queens","Nueve reinas",https://www.imdb.com/title/tt0247586,Movie,7.9,114,2000,"Thriller, Drama, Crime",63518,"2000-08-31","Fabián Bielinsky"
tt34996428,5,2025-11-02,"Homo Argentum","Homo Argentum",https://www.imdb.com/title/tt34996428,Movie,5.8,98,2025,"Comedy",5318,"2025-08-14","Mariano Cohn,Gastón Duprat"
tt6751668,4,2025-11-02,"Parasite","Gisaengchung",https://www.imdb.com/title/tt6751668,Movie,8.5,132,2019,"Drama, Thriller",1188028,"2019-11-08","Bong Joon Ho"
tt10370710,5,2025-11-02,"The Worst Person in the World","Verdens verste menneske",https://www.imdb.com/title/tt10370710,Movie,7.7,128,2021,"Comedy, Drama, Romance",131259,"2021-10-13","Joachim Trier"
tt4873118,6,2025-10-26,"The Covenant","The Covenant",https://www.imdb.com/title/tt4873118,Movie,7.5,123,2023,"Action, Thriller, War, Drama",214751,"2023-04-21","Guy Ritchie"
tt21103218,7,2025-10-11,"The Lost Bus","The Lost Bus",https://www.imdb.com/title/tt21103218,Movie,6.8,130,2025,"Drama, Thriller, Biography, History",56313,"2025-10-03","Paul Greengrass"
tt4900148,6,2025-09-28,"Elio","Elio",https://www.imdb.com/title/tt4900148,Movie,6.6,98,2025,"Animation, Drama, Adventure, Family, Fantasy, Comedy, Sci-Fi",47810,"2025-06-20","Adrian Molina,Madeline Sharafian,Domee Shi"
tt21940010,7,2025-09-08,"A Million Miles Away","A Million Miles Away",https://www.imdb.com/title/tt21940010,Movie,7.3,121,2023,"Drama, Biography",26836,"2023-09-15","Alejandra Márquez Abella"
tt11704040,6,2025-09-01,"Love Is Blind","Love Is Blind",https://www.imdb.com/title/tt11704040,TV Series,6.2,60,2020,"Reality-TV, Romance",13617,"2020-02-13",
tt26675358,7,2025-09-01,"Love Is Blind: UK","Love Is Blind: UK",https://www.imdb.com/title/tt26675358,TV Series,6.9,50,2024,"Game-Show, Reality-TV, Romance",1503,"2024-08-07",
tt15677150,3,2025-09-01,"Shrinking","Shrinking",https://www.imdb.com/title/tt15677150,TV Series,8.2,33,2023,"Comedy, Drama",129337,"2023-01-27",
tt26451138,2,2025-08-18,"Community Squad","División Palermo",https://www.imdb.com/title/tt26451138,TV Series,7.6,30,2023,"Comedy, Crime",4521,"2023-02-17",
tt2281551,7,2025-08-09,"Vinyl Days","Días de vinilo",https://www.imdb.com/title/tt2281551,Movie,6.8,105,2012,"Comedy, Music, Romance",1316,"2012-09-27","Gabriel Nesci"
tt6668212,4,2025-08-04,"A Life of Speed: The Juan Manuel Fangio Story","Fangio: El hombre que domaba las máquinas",https://www.imdb.com/title/tt6668212,Movie,7.1,92,2020,"Documentary, Biography, Sport",2570,"2020-03-20","Francisco Macri"
tt13654226,6,2025-08-03,"The Gorge","The Gorge",https://www.imdb.com/title/tt13654226,Movie,6.7,128,2025,"Action, Romance, Sci-Fi, Adventure, Horror",178492,"2025-02-14","Scott Derrickson"
tt28309594,6,2025-07-28,"Nonnas","Nonnas",https://www.imdb.com/title/tt28309594,Movie,6.8,111,2025,"Comedy, Drama, Family",48945,"2025-05-09","Stephen Chbosky"
tt31806037,5,2025-07-21,"Adolescence","Adolescence",https://www.imdb.com/title/tt31806037,TV Mini Series,8.1,60,2025,"Crime, Drama, Thriller",313424,"2025-03-13",
tt7335184,1,2025-07-21,"You","You",https://www.imdb.com/title/tt7335184,TV Series,7.6,45,2018,"Drama, Crime, Thriller, Romance",373776,"2018-09-09",
tt32840410,6,2025-07-21,"Menem: The President Show","Menem",https://www.imdb.com/title/tt32840410,TV Series,7.4,,2025,"Drama, Biography, History",1269,"2025-07-09",
tt11280740,5,2025-07-14,"Severance","Severance",https://www.imdb.com/title/tt11280740,TV Series,8.6,50,2022,"Drama, Thriller, Mystery, Sci-Fi",401970,"2022-02-18",
tt27740241,7,2025-07-07,"The Eternaut","El Eternauta",https://www.imdb.com/title/tt27740241,TV Series,7.2,60,2025,"Drama, Sci-Fi, Action, Adventure",37414,"2025-04-30",
tt10986410,6,2025-07-07,"Ted Lasso","Ted Lasso",https://www.imdb.com/title/tt10986410,TV Series,8.7,30,2020,"Comedy, Drama, Sport",458046,"2020-08-14",
tt0816692,7,2025-07-07,"Interstellar","Interstellar",https://www.imdb.com/title/tt0816692,Movie,8.7,169,2014,"Sci-Fi, Adventure, Drama",2590700,"2014-11-07","Christopher Nolan"
tt1517268,6,2025-07-07,"Barbie","Barbie",https://www.imdb.com/title/tt1517268,Movie,6.8,114,2023,"Comedy, Adventure, Fantasy",702337,"2023-07-21","Greta Gerwig"
tt1632701,6,2025-07-07,"Suits","Suits",https://www.imdb.com/title/tt1632701,TV Series,8.4,45,2011,"Drama, Comedy",547152,"2011-06-23",
tt2085059,8,2025-07-07,"Black Mirror","Black Mirror",https://www.imdb.com/title/tt2085059,TV Series,8.7,60,2011,"Drama, Thriller, Sci-Fi, Mystery, Crime",745832,"2011-12-04",
tt2861424,7,2025-07-07,"Rick and Morty","Rick and Morty",https://www.imdb.com/title/tt2861424,TV Series,9.0,23,2013,"Animation, Adventure, Comedy, Sci-Fi",708219,"2013-12-02",
tt4574334,6,2025-07-07,"Stranger Things","Stranger Things",https://www.imdb.com/title/tt4574334,TV Series,8.6,60,2016,"Drama, Horror, Thriller, Sci-Fi, Mystery, Fantasy",1729765,"2016-07-15",
tt3581920,6,2025-07-07,"The Last of Us","The Last of Us",https://www.imdb.com/title/tt3581920,TV Series,8.4,50,2023,"Adventure, Horror, Drama, Thriller, Sci-Fi, Action",747111,"2023-01-15",
tt0499549,7,2025-07-07,"Avatar","Avatar",https://www.imdb.com/title/tt0499549,Movie,7.9,162,2009,"Sci-Fi, Action, Adventure, Fantasy",1512331,"2009-12-18","James Cameron"
tt1464335,4,2025-07-07,"Uncharted","Uncharted",https://www.imdb.com/title/tt1464335,Movie,6.3,116,2022,"Action, Adventure",306167,"2022-02-18","Ruben Fleischer"
tt6139732,6,2025-07-07,"Aladdin","Aladdin",https://www.imdb.com/title/tt6139732,Movie,6.9,128,2019,"Musical, Adventure, Fantasy, Romance, Family, Comedy",318273,"2019-05-24","Guy Ritchie"
tt1312171,7,2025-07-07,"The Umbrella Academy","The Umbrella Academy",https://www.imdb.com/title/tt1312171,TV Series,7.8,60,2019,"Action, Fantasy, Adventure, Comedy, Drama, Sci-Fi",317211,"2019-02-15",
tt2661044,6,2025-07-07,"The 100","The 100",https://www.imdb.com/title/tt2661044,TV Series,7.5,43,2014,"Sci-Fi, Drama, Action, Mystery",306970,"2014-03-19",
tt2234155,5,2025-07-07,"The Internship","The Internship",https://www.imdb.com/title/tt2234155,Movie,6.3,119,2013,"Comedy",228733,"2013-06-07","Shawn Levy"
tt31710249,3,2025-07-07,"Stick","Stick",https://www.imdb.com/title/tt31710249,TV Series,7.2,,2025,"Comedy, Sport",19896,"2025-06-04",
tt4158110,2,2025-07-07,"Mr. Robot","Mr. Robot",https://www.imdb.com/title/tt4158110,TV Series,8.5,45,2015,"Crime, Drama, Thriller",473000,"2015-06-24",
tt2283362,7,2025-07-07,"Jumanji: Welcome to the Jungle","Jumanji: Welcome to the Jungle",https://www.imdb.com/title/tt2283362,Movie,6.9,119,2017,"Adventure, Fantasy, Action, Comedy",509871,"2017-12-20","Jake Kasdan"
tt30317229,4,2025-07-07,"La Palma","La Palma",https://www.imdb.com/title/tt30317229,TV Mini Series,6.2,50,2024,"Drama",27220,"2024-12-12",
tt10187208,5,2025-07-07,"A Boy Called Christmas","A Boy Called Christmas",https://www.imdb.com/title/tt10187208,Movie,6.7,106,2021,"Family, Adventure, Drama, Fantasy",31441,"2021-11-24","Gil Kenan"
tt15407486,6,2025-07-07,"King of Stonks","King of Stonks",https://www.imdb.com/title/tt15407486,TV Mini Series,6.7,47,2022,"Drama, Thriller, Comedy",2012,"2022-07-06",
tt0119282,7,2025-07-07,"Hercules","Hercules",https://www.imdb.com/title/tt0119282,Movie,7.3,93,1997,"Animation, Musical, Fantasy, Romance, Comedy, Action, Adventure, Family",282846,"1997-06-27","Ron Clements,John Musker"
tt15664022,8,2025-07-07,"Espartanos: Una historia real","Espartanos: Una historia real",https://www.imdb.com/title/tt15664022,TV Series,7.9,,2025,"Drama, Sport",135,"2025-02-19",
tt9184994,5,2025-07-07,"How to Sell Drugs Online (Fast)","How to Sell Drugs Online (Fast)",https://www.imdb.com/title/tt9184994,TV Series,7.7,30,2019,"Comedy, Crime, Drama, Romance",47781,"2019-05-31",
tt3228774,5,2025-07-07,"Cruella","Cruella",https://www.imdb.com/title/tt3228774,Movie,7.3,134,2021,"Comedy, Crime, Drama, Adventure",300279,"2021-05-28","Craig Gillespie"
tt1637688,5,2025-07-07,"In Time","In Time",https://www.imdb.com/title/tt1637688,Movie,6.7,109,2011,"Sci-Fi, Thriller, Action",487489,"2011-10-28","Andrew Niccol"
tt2709692,4,2025-07-07,"The Grinch","The Grinch",https://www.imdb.com/title/tt2709692,Movie,6.4,86,2018,"Animation, Family, Fantasy, Comedy",115017,"2018-11-09","Yarrow Cheney,Scott Mosier"
tt5680678,7,2025-07-07,"Inseparables","Inseparables",https://www.imdb.com/title/tt5680678,Movie,6.7,108,2016,"Comedy, Drama",1578,"2016-08-11","Marcos Carnevale"
tt11564258,7,2025-07-07,"The Playlist","The Playlist",https://www.imdb.com/title/tt11564258,TV Mini Series,7.4,50,2022,"Drama, Biography, Music",17672,"2022-10-13",
tt26670955,7,2025-07-07,"A Man on the Inside","A Man on the Inside",https://www.imdb.com/title/tt26670955,TV Series,7.6,30,2024,"Comedy, Crime",47034,"2024-11-21",
tt2245084,7,2025-07-07,"Big Hero 6","Big Hero 6",https://www.imdb.com/title/tt2245084,Movie,7.8,102,2014,"Animation, Action, Family, Sci-Fi, Adventure, Comedy, Crime, Drama",560159,"2014-11-07","Don Hall,Chris Williams"
tt2084970,7,2025-07-07,"The Imitation Game","The Imitation Game",https://www.imdb.com/title/tt2084970,Movie,8.0,114,2014,"Drama, Biography, Thriller, War",883411,"2014-12-25","Morten Tyldum"
tt28752710,5,2025-07-07,"I Can't Live Without You","No puedo vivir sin ti",https://www.imdb.com/title/tt28752710,Movie,5.1,112,2024,"Comedy",934,"2024-08-16","Santiago Requejo"
tt2948372,8,2025-07-07,"Soul","Soul",https://www.imdb.com/title/tt2948372,Movie,8.0,100,2020,"Animation, Family, Adventure, Fantasy, Music, Comedy, Drama",455929,"2020-12-25","Pete Docter,Kemp Powers"
tt0481499,6,2025-07-07,"The Croods","The Croods",https://www.imdb.com/title/tt0481499,Movie,7.1,98,2013,"Animation, Adventure, Comedy, Family, Fantasy",254282,"2013-03-22","Kirk DeMicco,Chris Sanders"
tt0362227,5,2025-07-07,"The Terminal","The Terminal",https://www.imdb.com/title/tt0362227,Movie,7.4,128,2004,"Drama, Comedy, Romance",540414,"2004-06-18","Steven Spielberg"
tt21382296,1,2025-07-07,"Carry-On","Carry-On",https://www.imdb.com/title/tt21382296,Movie,6.5,119,2024,"Action, Thriller, Crime",197876,"2024-12-13","Jaume Collet-Serra"
tt2709768,4,2025-07-07,"The Secret Life of Pets","The Secret Life of Pets",https://www.imdb.com/title/tt2709768,Movie,6.5,86,2016,"Animation, Comedy, Family, Adventure",238394,"2016-07-08","Chris Renaud"
tt0120917,5,2025-07-07,"The Emperor's New Groove","The Emperor's New Groove",https://www.imdb.com/title/tt0120917,Movie,7.4,78,2000,"Animation, Adventure, Fantasy, Family, Comedy",251901,"2000-12-15","Mark Dindal"
tt3521164,6,2025-07-07,"Moana","Moana",https://www.imdb.com/title/tt3521164,Movie,7.6,107,2016,"Animation, Musical, Adventure, Family, Comedy, Fantasy",448614,"2016-11-23","Ron Clements,John Musker,Don Hall,Chris Williams"
tt10384744,6,2025-07-07,"Heroic Losers","La odisea de los giles",https://www.imdb.com/title/tt10384744,Movie,7.2,116,2019,"Drama, Adventure, Comedy, Crime, History, Thriller",15442,"2019-08-15","Sebastián Borensztein"
tt1705786,6,2025-07-07,"Chinese Take-Away","Un cuento chino",https://www.imdb.com/title/tt1705786,Movie,7.3,93,2011,"Drama, Comedy",20889,"2011-03-24","Sebastián Borensztein"
tt1634003,8,2025-06-23,"Underdogs","Metegol",https://www.imdb.com/title/tt1634003,Movie,6.4,85,2013,"Animation, Adventure, Family, Sport, Comedy, Fantasy",11510,"2013-07-18","Juan José Campanella"
tt6048922,3,2025-06-08,"Greyhound","Greyhound",https://www.imdb.com/title/tt6048922,Movie,7.0,91,2020,"Drama, War, History, Action",136038,"2020-07-10","Aaron Schneider"
tt12758060,8,2025-06-08,"Tetris","Tetris",https://www.imdb.com/title/tt12758060,Movie,7.4,118,2023,"Biography, Thriller, Drama, History",109866,"2023-03-31","Jon S. Baird"
tt2380307,6,2025-04-27,"Coco","Coco",https://www.imdb.com/title/tt2380307,Movie,8.4,105,2017,"Animation, Family, Adventure, Fantasy, Mystery, Music, Drama",722621,"2017-11-22","Lee Unkrich,Adrian Molina"
tt0328880,5,2025-04-23,"Brother Bear","Brother Bear",https://www.imdb.com/title/tt0328880,Movie,6.9,85,2003,"Animation, Musical, Family, Fantasy, Adventure, Comedy, Drama",137952,"2003-11-01","Aaron Blaise,Robert Walker"
tt3553976,8,2025-03-29,"Captain Fantastic","Captain Fantastic",https://www.imdb.com/title/tt3553976,Movie,7.8,118,2016,"Drama, Comedy, Adventure",252646,"2016-07-29","Matt Ross"
tt0389860,8,2025-03-29,"Click","Click",https://www.imdb.com/title/tt0389860,Movie,6.5,107,2006,"Comedy, Drama, Romance, Fantasy",391476,"2006-06-23","Frank Coraci"
tt2948356,7,2025-03-28,"Zootopia","Zootopia",https://www.imdb.com/title/tt2948356,Movie,8.0,108,2016,"Animation, Crime, Action, Mystery, Adventure, Family, Comedy",647142,"2016-03-04","Byron Howard,Rich Moore,Jared Bush"
tt14060232,2,2025-03-24,"Infinite Storm","Infinite Storm",https://www.imdb.com/title/tt14060232,Movie,5.3,97,2022,"Drama, Thriller",12906,"2022-03-25","Malgorzata Szumowska,Michal Englert"
tt11152168,3,2025-03-16,"IF","If",https://www.imdb.com/title/tt11152168,Movie,6.4,104,2024,"Animation, Comedy, Fantasy, Family, Drama",68488,"2024-05-17","John Krasinski"
tt1950186,8,2024-12-30,"Ford v Ferrari","Ford v Ferrari",https://www.imdb.com/title/tt1950186,Movie,8.1,152,2019,"Action, Drama, Biography, Sport",583163,"2019-11-15","James Mangold"
tt10048342,7,2024-12-30,"The Queen's Gambit","The Queen's Gambit",https://www.imdb.com/title/tt10048342,TV Mini Series,8.5,60,2020,"Drama",674602,"2020-10-23",
tt0386676,7,2024-12-30,"The Office","The Office",https://www.imdb.com/title/tt0386676,TV Series,9.0,22,2005,"Comedy",845493,"2005-03-24",
tt4955642,9,2024-12-30,"The Good Place","The Good Place",https://www.imdb.com/title/tt4955642,TV Series,8.2,22,2016,"Comedy, Fantasy, Romance, Drama, Mystery",223953,"2016-09-19",
tt14992922,7,2024-12-30,"The Tinder Swindler","The Tinder Swindler",https://www.imdb.com/title/tt14992922,Movie,7.1,114,2022,"Documentary, Crime",78210,"2022-02-02","Felicity Morris"
tt22022452,7,2024-12-30,"Inside Out 2","Inside Out 2",https://www.imdb.com/title/tt22022452,Movie,7.5,96,2024,"Animation, Adventure, Comedy, Drama, Family, Fantasy, Sport",258506,"2024-06-14","Kelsey Mann"
tt32201656,8,2024-12-30,"Illusions for Sale: The Rise and Fall of Generation Zoe","El vendedor de ilusiones: El caso Generación Zoe",https://www.imdb.com/title/tt32201656,Movie,6.2,107,2024,"Documentary, Crime",705,"2024-05-23","Matías Gueilburt"
tt23022276,7,2024-12-30,"Pepsi, Where's My Jet?","Pepsi, Where's My Jet?",https://www.imdb.com/title/tt23022276,TV Mini Series,7.0,40,2022,"Documentary, History",13732,"2022-11-17",
tt15257160,6,2024-12-30,"Pain Hustlers","Pain Hustlers",https://www.imdb.com/title/tt15257160,Movie,6.6,123,2023,"Crime, Drama",56115,"2023-10-27","David Yates"
tt1285016,6,2024-12-30,"The Social Network","The Social Network",https://www.imdb.com/title/tt1285016,Movie,7.8,120,2010,"Drama, Biography",826541,"2010-10-01","David Fincher"
tt1670345,7,2024-12-30,"Now You See Me","Now You See Me",https://www.imdb.com/title/tt1670345,Movie,7.2,115,2013,"Thriller, Crime, Mystery",776658,"2013-05-31","Louis Leterrier"
tt4729430,7,2024-12-30,"Klaus","Klaus",https://www.imdb.com/title/tt4729430,Movie,8.2,96,2019,"Animation, Adventure, Comedy, Family, Fantasy",241281,"2019-11-15","Sergio Pablos,Carlos Martínez López"
tt1386697,7,2024-12-30,"Suicide Squad","Suicide Squad",https://www.imdb.com/title/tt1386697,Movie,5.9,123,2016,"Action, Sci-Fi, Adventure, Fantasy",764823,"2016-08-05","David Ayer"
tt0454921,7,2024-12-30,"The Pursuit of Happyness","The Pursuit of Happyness",https://www.imdb.com/title/tt0454921,Movie,8.0,117,2006,"Drama, Biography",628596,"2006-12-15","Gabriele Muccino"
tt0096874,5,2024-12-30,"Back to the Future Part II","Back to the Future Part II",https://www.imdb.com/title/tt0096874,Movie,7.8,108,1989,"Adventure, Sci-Fi, Comedy",627509,"1989-11-22","Robert Zemeckis"
tt0088763,8,2024-12-30,"Back to the Future","Back to the Future",https://www.imdb.com/title/tt0088763,Movie,8.5,116,1985,"Comedy, Sci-Fi, Adventure",1470018,"1985-07-03","Robert Zemeckis"
tt5290382,8,2024-12-30,"Mindhunter","Mindhunter",https://www.imdb.com/title/tt5290382,TV Series,8.6,60,2017,"Thriller, Crime, Drama, Mystery",403627,"2017-10-13",
tt6315640,8,2024-12-30,"Atypical","Atypical",https://www.imdb.com/title/tt6315640,TV Series,8.2,30,2017,"Comedy, Drama",114800,"2017-08-11",
tt2194499,9,2024-12-30,"About Time","About Time",https://www.imdb.com/title/tt2194499,Movie,7.8,123,2013,"Drama, Fantasy, Romance, Comedy, Sci-Fi",440166,"2013-11-08","Richard Curtis"
tt34350086,8,2024-11-25,"Buy Now! The Shopping Conspiracy","Buy Now! The Shopping Conspiracy",https://www.imdb.com/title/tt34350086,Movie,6.7,84,2024,"Documentary",8397,"2024-11-20","Nic Stacey"
